head_type	head	relation	tail_type	tail
type1	type1:node_1	rel_2	type1	type1:node_1
type1	type1:node_100	rel_2	type2	type2:node_11
type2	type2:node_86	rel_3	type0	type0:node_3
type1	type1:node_28	rel_1	type0	type0:node_0
type1	type1:node_73	rel_3	type1	type1:node_103
type2	type2:node_2	rel_1	type0	type0:node_141
type1	type1:node_10	rel_1	type0	type0:node_48
type0	type0:node_15	rel_2	type0	type0:node_48
type2	type2:node_44	rel_3	type2	type2:node_29
type2	type2:node_71	rel_0	type2	type2:node_8
type1	type1:node_13	rel_3	type2	type2:node_62
type0	type0:node_42	rel_0	type1	type1:node_100
type2	type2:node_44	rel_1	type0	type0:node_6
type0	type0:node_75	rel_1	type0	type0:node_42
type1	type1:node_31	rel_3	type0	type0:node_75
type2	type2:node_2	rel_0	type1	type1:node_64
type0	type0:node_39	rel_1	type0	type0:node_69
type0	type0:node_0	rel_1	type0	type0:node_9
type2	type2:node_17	rel_3	type0	type0:node_3
type0	type0:node_132	rel_0	type2	type2:node_80
type2	type2:node_71	rel_2	type0	type0:node_30
type0	type0:node_198	rel_3	type1	type1:node_25
type0	type0:node_9	rel_2	type2	type2:node_2
type2	type2:node_35	rel_2	type2	type2:node_62
type2	type2:node_47	rel_1	type0	type0:node_3
type1	type1:node_7	rel_2	type2	type2:node_8
type1	type1:node_91	rel_3	type1	type1:node_70
type0	type0:node_9	rel_2	type2	type2:node_11
type1	type1:node_7	rel_3	type1	type1:node_40
type1	type1:node_142	rel_2	type0	type0:node_15
type2	type2:node_173	rel_2	type1	type1:node_103
type0	type0:node_0	rel_0	type2	type2:node_173
type2	type2:node_11	rel_2	type2	type2:node_20
type2	type2:node_83	rel_2	type1	type1:node_4
type2	type2:node_161	rel_1	type2	type2:node_68
type1	type1:node_1	rel_1	type0	type0:node_81
type2	type2:node_5	rel_1	type1	type1:node_61
type2	type2:node_53	rel_3	type0	type0:node_0
type1	type1:node_10	rel_1	type0	type0:node_24
type0	type0:node_0	rel_1	type2	type2:node_35
type1	type1:node_16	rel_3	type0	type0:node_162
type0	type0:node_24	rel_2	type0	type0:node_3
type0	type0:node_9	rel_0	type1	type1:node_55
type2	type2:node_56	rel_0	type2	type2:node_5
type1	type1:node_151	rel_1	type2	type2:node_2
type0	type0:node_162	rel_3	type0	type0:node_0
type1	type1:node_97	rel_2	type0	type0:node_3
type1	type1:node_133	rel_0	type0	type0:node_0
type0	type0:node_159	rel_3	type1	type1:node_10
type1	type1:node_193	rel_3	type1	type1:node_34
type1	type1:node_139	rel_3	type1	type1:node_1
type0	type0:node_6	rel_2	type0	type0:node_105
type2	type2:node_2	rel_2	type1	type1:node_22
type2	type2:node_74	rel_2	type0	type0:node_0
type2	type2:node_98	rel_1	type0	type0:node_39
type0	type0:node_3	rel_3	type1	type1:node_124
type1	type1:node_112	rel_0	type0	type0:node_30
type1	type1:node_16	rel_1	type1	type1:node_1
type0	type0:node_24	rel_0	type1	type1:node_163
type0	type0:node_6	rel_2	type2	type2:node_5
type2	type2:node_173	rel_0	type2	type2:node_8
type0	type0:node_6	rel_1	type0	type0:node_12
type0	type0:node_0	rel_2	type1	type1:node_1
type2	type2:node_2	rel_2	type2	type2:node_65
type0	type0:node_66	rel_2	type2	type2:node_53
type1	type1:node_13	rel_1	type1	type1:node_4
type1	type1:node_25	rel_2	type1	type1:node_22
type2	type2:node_17	rel_3	type2	type2:node_35
type0	type0:node_87	rel_1	type0	type0:node_102
type1	type1:node_88	rel_0	type1	type1:node_64
type1	type1:node_31	rel_2	type2	type2:node_32
type0	type0:node_0	rel_0	type2	type2:node_38
type2	type2:node_113	rel_1	type2	type2:node_146
type0	type0:node_39	rel_2	type2	type2:node_2
type1	type1:node_124	rel_1	type2	type2:node_20
type2	type2:node_74	rel_3	type2	type2:node_26
type0	type0:node_105	rel_3	type0	type0:node_21
type1	type1:node_22	rel_3	type0	type0:node_0
type2	type2:node_62	rel_0	type2	type2:node_8
type0	type0:node_15	rel_1	type0	type0:node_108
type2	type2:node_41	rel_2	type0	type0:node_0
type0	type0:node_69	rel_0	type1	type1:node_34
type0	type0:node_162	rel_3	type0	type0:node_0
type0	type0:node_0	rel_1	type2	type2:node_17
type2	type2:node_89	rel_3	type0	type0:node_186
type1	type1:node_13	rel_3	type2	type2:node_140
type1	type1:node_130	rel_3	type1	type1:node_148
type0	type0:node_0	rel_1	type1	type1:node_178
type0	type0:node_57	rel_1	type2	type2:node_11
type0	type0:node_195	rel_1	type0	type0:node_15
type2	type2:node_77	rel_0	type1	type1:node_4
type2	type2:node_86	rel_3	type1	type1:node_187
type2	type2:node_62	rel_3	type1	type1:node_34
type0	type0:node_111	rel_2	type2	type2:node_5
type2	type2:node_2	rel_0	type0	type0:node_3
type0	type0:node_0	rel_0	type1	type1:node_58
type2	type2:node_5	rel_0	type0	type0:node_0
type0	type0:node_21	rel_0	type1	type1:node_61
type2	type2:node_5	rel_3	type0	type0:node_0
type2	type2:node_5	rel_0	type1	type1:node_4
type2	type2:node_2	rel_1	type0	type0:node_195
type0	type0:node_108	rel_2	type0	type0:node_78
type1	type1:node_40	rel_2	type2	type2:node_92
type2	type2:node_5	rel_1	type1	type1:node_133
type2	type2:node_17	rel_1	type1	type1:node_7
type2	type2:node_50	rel_3	type0	type0:node_18
type0	type0:node_0	rel_3	type2	type2:node_11
type0	type0:node_96	rel_3	type0	type0:node_9
type1	type1:node_16	rel_1	type2	type2:node_8
type2	type2:node_86	rel_1	type0	type0:node_24
type2	type2:node_8	rel_3	type2	type2:node_71
type2	type2:node_152	rel_3	type2	type2:node_38
type1	type1:node_37	rel_1	type1	type1:node_1
type0	type0:node_6	rel_0	type1	type1:node_10
type0	type0:node_156	rel_0	type0	type0:node_120
type0	type0:node_33	rel_0	type2	type2:node_113
type0	type0:node_6	rel_0	type2	type2:node_62
type0	type0:node_132	rel_1	type0	type0:node_3
type1	type1:node_25	rel_2	type1	type1:node_130
type2	type2:node_8	rel_1	type2	type2:node_149
type1	type1:node_163	rel_0	type0	type0:node_177
type2	type2:node_83	rel_1	type2	type2:node_86
type2	type2:node_68	rel_3	type1	type1:node_70
type2	type2:node_152	rel_2	type0	type0:node_36
type2	type2:node_14	rel_2	type0	type0:node_33
type2	type2:node_8	rel_3	type0	type0:node_12
type2	type2:node_23	rel_3	type1	type1:node_103
type1	type1:node_88	rel_1	type0	type0:node_9
type1	type1:node_13	rel_1	type2	type2:node_17
type0	type0:node_81	rel_3	type0	type0:node_0
type2	type2:node_8	rel_1	type0	type0:node_3
type2	type2:node_14	rel_3	type1	type1:node_115
type0	type0:node_36	rel_2	type2	type2:node_167
type0	type0:node_6	rel_3	type2	type2:node_110
type1	type1:node_22	rel_2	type1	type1:node_79
type2	type2:node_2	rel_3	type0	type0:node_75
type0	type0:node_3	rel_0	type1	type1:node_139
type1	type1:node_31	rel_0	type0	type0:node_117
type0	type0:node_168	rel_0	type0	type0:node_60
type2	type2:node_17	rel_1	type1	type1:node_118
type0	type0:node_0	rel_1	type2	type2:node_2
type1	type1:node_28	rel_3	type1	type1:node_13
type1	type1:node_58	rel_3	type0	type0:node_0
type0	type0:node_0	rel_2	type2	type2:node_32
type0	type0:node_33	rel_3	type1	type1:node_7
type2	type2:node_104	rel_0	type2	type2:node_149
type0	type0:node_153	rel_1	type1	type1:node_31
type0	type0:node_3	rel_2	type2	type2:node_32
type0	type0:node_6	rel_2	type0	type0:node_15
type1	type1:node_175	rel_1	type1	type1:node_22
type2	type2:node_194	rel_0	type1	type1:node_4
type0	type0:node_57	rel_0	type2	type2:node_125
type1	type1:node_1	rel_3	type2	type2:node_14
type0	type0:node_0	rel_1	type0	type0:node_0
type0	type0:node_0	rel_2	type0	type0:node_120
type2	type2:node_38	rel_0	type2	type2:node_125
type1	type1:node_142	rel_1	type1	type1:node_154
type1	type1:node_4	rel_3	type1	type1:node_130
type0	type0:node_6	rel_2	type1	type1:node_157
type0	type0:node_144	rel_0	type2	type2:node_38
type0	type0:node_3	rel_0	type2	type2:node_122
type0	type0:node_177	rel_3	type0	type0:node_42
type0	type0:node_159	rel_1	type2	type2:node_8
type2	type2:node_38	rel_2	type1	type1:node_121
type2	type2:node_14	rel_0	type0	type0:node_81
type1	type1:node_28	rel_0	type1	type1:node_184
type1	type1:node_1	rel_0	type2	type2:node_5
type2	type2:node_11	rel_3	type0	type0:node_90
type1	type1:node_181	rel_2	type1	type1:node_10
type0	type0:node_96	rel_1	type0	type0:node_21
type0	type0:node_12	rel_3	type0	type0:node_165
type0	type0:node_3	rel_3	type0	type0:node_42
type0	type0:node_0	rel_1	type1	type1:node_49
type1	type1:node_73	rel_1	type0	type0:node_0
type2	type2:node_14	rel_1	type0	type0:node_96
type0	type0:node_81	rel_0	type0	type0:node_9
type1	type1:node_1	rel_3	type1	type1:node_166
type0	type0:node_12	rel_1	type0	type0:node_6
type1	type1:node_1	rel_3	type1	type1:node_19
type1	type1:node_1	rel_0	type1	type1:node_1
type2	type2:node_44	rel_3	type0	type0:node_96
type0	type0:node_0	rel_0	type2	type2:node_17
type1	type1:node_76	rel_1	type1	type1:node_37
type0	type0:node_39	rel_3	type2	type2:node_2
type2	type2:node_2	rel_2	type0	type0:node_6
type0	type0:node_27	rel_3	type0	type0:node_0
type1	type1:node_7	rel_0	type2	type2:node_8
type0	type0:node_12	rel_3	type2	type2:node_167
type2	type2:node_44	rel_0	type0	type0:node_3
type1	type1:node_1	rel_3	type0	type0:node_0
type1	type1:node_10	rel_2	type1	type1:node_49
type2	type2:node_20	rel_1	type1	type1:node_19
type2	type2:node_8	rel_1	type0	type0:node_45
type1	type1:node_25	rel_3	type0	type0:node_3
type1	type1:node_181	rel_3	type1	type1:node_7
type0	type0:node_180	rel_2	type2	type2:node_95
type2	type2:node_14	rel_3	type0	type0:node_108
type1	type1:node_13	rel_1	type2	type2:node_161
type1	type1:node_43	rel_0	type2	type2:node_35
type1	type1:node_172	rel_1	type1	type1:node_22
type2	type2:node_20	rel_0	type1	type1:node_7
type1	type1:node_109	rel_3	type1	type1:node_100
type2	type2:node_62	rel_2	type2	type2:node_2
type2	type2:node_5	rel_3	type1	type1:node_58
type2	type2:node_98	rel_3	type0	type0:node_0
type2	type2:node_41	rel_3	type0	type0:node_33
type1	type1:node_34	rel_2	type2	type2:node_98
type0	type0:node_69	rel_0	type1	type1:node_106
type1	type1:node_1	rel_2	type2	type2:node_5
type2	type2:node_2	rel_3	type2	type2:node_47
type0	type0:node_180	rel_3	type1	type1:node_10
type1	type1:node_1	rel_1	type1	type1:node_1
type2	type2:node_29	rel_1	type0	type0:node_30
type0	type0:node_21	rel_1	type0	type0:node_15
type2	type2:node_11	rel_0	type0	type0:node_0
type2	type2:node_8	rel_0	type2	type2:node_155
type1	type1:node_1	rel_1	type0	type0:node_165
type2	type2:node_11	rel_1	type2	type2:node_11
type1	type1:node_31	rel_0	type2	type2:node_11
type2	type2:node_20	rel_2	type2	type2:node_68
type0	type0:node_0	rel_0	type0	type0:node_0
type0	type0:node_0	rel_0	type2	type2:node_11
type0	type0:node_63	rel_1	type2	type2:node_2
type0	type0:node_30	rel_2	type0	type0:node_36
type1	type1:node_37	rel_1	type1	type1:node_175
type2	type2:node_101	rel_1	type0	type0:node_51
type0	type0:node_54	rel_0	type1	type1:node_19
type2	type2:node_80	rel_3	type1	type1:node_136
type1	type1:node_43	rel_1	type0	type0:node_15
type1	type1:node_4	rel_0	type1	type1:node_85
type1	type1:node_40	rel_1	type2	type2:node_101
type1	type1:node_13	rel_0	type0	type0:node_3
type0	type0:node_6	rel_2	type1	type1:node_127
type2	type2:node_44	rel_0	type2	type2:node_47
type2	type2:node_11	rel_1	type0	type0:node_120
type2	type2:node_107	rel_2	type2	type2:node_71
type1	type1:node_154	rel_1	type1	type1:node_43
type0	type0:node_9	rel_0	type2	type2:node_5
type0	type0:node_3	rel_3	type1	type1:node_67
type0	type0:node_18	rel_3	type2	type2:node_2
type0	type0:node_18	rel_1	type2	type2:node_26
type0	type0:node_36	rel_1	type2	type2:node_26
type0	type0:node_3	rel_0	type1	type1:node_118
type2	type2:node_128	rel_3	type0	type0:node_171
type1	type1:node_1	rel_3	type2	type2:node_107
type2	type2:node_17	rel_3	type2	type2:node_26
type2	type2:node_26	rel_0	type0	type0:node_0
type1	type1:node_100	rel_0	type1	type1:node_4
type1	type1:node_7	rel_1	type0	type0:node_33
type2	type2:node_95	rel_3	type2	type2:node_38
type2	type2:node_35	rel_0	type1	type1:node_1
type0	type0:node_6	rel_2	type1	type1:node_34
type1	type1:node_34	rel_3	type2	type2:node_86
type2	type2:node_35	rel_0	type1	type1:node_193
type2	type2:node_80	rel_1	type0	type0:node_57
type2	type2:node_8	rel_3	type1	type1:node_199
type0	type0:node_6	rel_0	type1	type1:node_127
type2	type2:node_20	rel_1	type1	type1:node_196
type1	type1:node_4	rel_2	type2	type2:node_80
type0	type0:node_126	rel_3	type2	type2:node_47
type2	type2:node_2	rel_1	type2	type2:node_2
type2	type2:node_107	rel_2	type2	type2:node_104
type2	type2:node_32	rel_1	type2	type2:node_44
type0	type0:node_9	rel_2	type1	type1:node_70
type1	type1:node_40	rel_0	type1	type1:node_172
type1	type1:node_1	rel_3	type0	type0:node_84
type1	type1:node_154	rel_1	type0	type0:node_195
type0	type0:node_69	rel_1	type1	type1:node_1
type0	type0:node_72	rel_3	type2	type2:node_113
type2	type2:node_26	rel_2	type1	type1:node_40
type0	type0:node_51	rel_0	type1	type1:node_13
type1	type1:node_52	rel_0	type0	type0:node_135
type1	type1:node_16	rel_2	type0	type0:node_84
type1	type1:node_22	rel_0	type2	type2:node_26
type1	type1:node_130	rel_0	type0	type0:node_120
type0	type0:node_78	rel_2	type1	type1:node_22
type2	type2:node_122	rel_3	type1	type1:node_100
type1	type1:node_4	rel_1	type1	type1:node_19
type0	type0:node_27	rel_2	type0	type0:node_9
type1	type1:node_10	rel_3	type1	type1:node_40
type1	type1:node_97	rel_0	type1	type1:node_142
type0	type0:node_0	rel_3	type2	type2:node_50
type0	type0:node_0	rel_1	type0	type0:node_159
type2	type2:node_20	rel_3	type0	type0:node_0
type0	type0:node_3	rel_1	type0	type0:node_66
type1	type1:node_136	rel_2	type2	type2:node_8
type1	type1:node_1	rel_0	type0	type0:node_12
type1	type1:node_13	rel_1	type2	type2:node_146
type0	type0:node_0	rel_1	type2	type2:node_50
type1	type1:node_19	rel_0	type1	type1:node_1
type0	type0:node_0	rel_1	type0	type0:node_24
type2	type2:node_44	rel_3	type0	type0:node_30
type0	type0:node_0	rel_0	type2	type2:node_68
type0	type0:node_192	rel_1	type0	type0:node_18
type0	type0:node_24	rel_0	type1	type1:node_4
type0	type0:node_78	rel_2	type1	type1:node_1
type1	type1:node_13	rel_3	type2	type2:node_8
type2	type2:node_92	rel_1	type1	type1:node_85
type0	type0:node_54	rel_0	type0	type0:node_63
type2	type2:node_32	rel_1	type0	type0:node_0
type2	type2:node_20	rel_1	type0	type0:node_75
type1	type1:node_154	rel_3	type0	type0:node_48
type0	type0:node_126	rel_0	type1	type1:node_1
type2	type2:node_2	rel_3	type1	type1:node_1
type0	type0:node_12	rel_1	type1	type1:node_19
type2	type2:node_5	rel_1	type1	type1:node_55
type0	type0:node_36	rel_2	type0	type0:node_45
type1	type1:node_94	rel_2	type0	type0:node_66
type0	type0:node_3	rel_1	type1	type1:node_46
type2	type2:node_83	rel_0	type2	type2:node_8
type0	type0:node_96	rel_1	type0	type0:node_99
type0	type0:node_27	rel_3	type1	type1:node_1
type2	type2:node_53	rel_0	type0	type0:node_0
type0	type0:node_192	rel_1	type0	type0:node_162
type2	type2:node_14	rel_3	type0	type0:node_117
type1	type1:node_13	rel_3	type1	type1:node_64
type2	type2:node_173	rel_0	type1	type1:node_91
type0	type0:node_42	rel_1	type0	type0:node_0
type0	type0:node_0	rel_3	type0	type0:node_0
type2	type2:node_29	rel_3	type0	type0:node_51
type0	type0:node_18	rel_1	type1	type1:node_16
type1	type1:node_7	rel_1	type0	type0:node_9
type1	type1:node_184	rel_2	type2	type2:node_2
type0	type0:node_15	rel_0	type1	type1:node_52
type0	type0:node_9	rel_1	type2	type2:node_20
type0	type0:node_0	rel_3	type1	type1:node_1
type1	type1:node_1	rel_0	type2	type2:node_47
type0	type0:node_9	rel_1	type0	type0:node_81
type1	type1:node_1	rel_0	type2	type2:node_71
type2	type2:node_2	rel_2	type1	type1:node_172
type2	type2:node_2	rel_2	type1	type1:node_1
type1	type1:node_79	rel_0	type1	type1:node_1
type1	type1:node_10	rel_0	type1	type1:node_19
type0	type0:node_6	rel_0	type2	type2:node_185
type0	type0:node_27	rel_0	type2	type2:node_29
type0	type0:node_27	rel_2	type2	type2:node_38
type2	type2:node_2	rel_0	type2	type2:node_92
type1	type1:node_4	rel_0	type2	type2:node_29
type2	type2:node_125	rel_0	type0	type0:node_0
type0	type0:node_24	rel_1	type2	type2:node_14
type0	type0:node_3	rel_0	type2	type2:node_176
type0	type0:node_36	rel_3	type1	type1:node_151
type1	type1:node_4	rel_2	type2	type2:node_5
type0	type0:node_6	rel_2	type0	type0:node_0
type1	type1:node_1	rel_0	type2	type2:node_62
type0	type0:node_3	rel_0	type1	type1:node_103
type2	type2:node_173	rel_3	type0	type0:node_0
type0	type0:node_129	rel_2	type2	type2:node_92
type1	type1:node_10	rel_0	type0	type0:node_36
type1	type1:node_13	rel_2	type1	type1:node_7
type0	type0:node_81	rel_2	type2	type2:node_5
type1	type1:node_43	rel_1	type0	type0:node_27
type1	type1:node_79	rel_1	type2	type2:node_35
type2	type2:node_2	rel_0	type2	type2:node_161
type2	type2:node_5	rel_0	type2	type2:node_11
type0	type0:node_171	rel_3	type0	type0:node_0
type1	type1:node_121	rel_0	type2	type2:node_77
type0	type0:node_3	rel_3	type0	type0:node_189
type2	type2:node_26	rel_1	type0	type0:node_0
type0	type0:node_72	rel_1	type1	type1:node_1
type2	type2:node_143	rel_2	type0	type0:node_30
type1	type1:node_22	rel_0	type2	type2:node_83
type1	type1:node_28	rel_3	type2	type2:node_53
type0	type0:node_0	rel_3	type0	type0:node_39
type2	type2:node_59	rel_2	type1	type1:node_1
type0	type0:node_6	rel_3	type0	type0:node_9
type0	type0:node_69	rel_2	type1	type1:node_79
type0	type0:node_21	rel_1	type2	type2:node_5
type1	type1:node_1	rel_0	type1	type1:node_91
type2	type2:node_2	rel_3	type2	type2:node_2
type0	type0:node_9	rel_2	type1	type1:node_1
type2	type2:node_179	rel_2	type1	type1:node_4
type2	type2:node_23	rel_0	type0	type0:node_123
type2	type2:node_2	rel_0	type2	type2:node_65
type1	type1:node_4	rel_1	type1	type1:node_124
type1	type1:node_1	rel_2	type2	type2:node_5
type0	type0:node_15	rel_2	type0	type0:node_0
type0	type0:node_6	rel_0	type2	type2:node_194
type0	type0:node_171	rel_1	type1	type1:node_124
type1	type1:node_1	rel_1	type1	type1:node_1
type1	type1:node_1	rel_1	type0	type0:node_0
type1	type1:node_1	rel_2	type0	type0:node_111
type2	type2:node_65	rel_0	type2	type2:node_164
type2	type2:node_41	rel_0	type0	type0:node_6
type0	type0:node_0	rel_3	type0	type0:node_0
type0	type0:node_105	rel_2	type1	type1:node_1
type1	type1:node_1	rel_0	type1	type1:node_166
type2	type2:node_2	rel_3	type1	type1:node_40
type0	type0:node_27	rel_3	type2	type2:node_14
type2	type2:node_2	rel_1	type1	type1:node_4
type1	type1:node_7	rel_1	type0	type0:node_21
type0	type0:node_0	rel_1	type1	type1:node_49
type1	type1:node_55	rel_3	type0	type0:node_27
type0	type0:node_0	rel_1	type1	type1:node_7
type0	type0:node_18	rel_1	type0	type0:node_54
type0	type0:node_51	rel_0	type0	type0:node_102
type1	type1:node_193	rel_2	type2	type2:node_95
type1	type1:node_25	rel_2	type2	type2:node_95
type1	type1:node_151	rel_3	type1	type1:node_28
type0	type0:node_6	rel_1	type0	type0:node_0
type0	type0:node_0	rel_2	type1	type1:node_106
type0	type0:node_0	rel_2	type2	type2:node_194
type0	type0:node_90	rel_1	type1	type1:node_199
type1	type1:node_1	rel_2	type1	type1:node_58
type0	type0:node_33	rel_0	type2	type2:node_98
type2	type2:node_89	rel_3	type1	type1:node_169
type0	type0:node_12	rel_1	type0	type0:node_117
type0	type0:node_3	rel_2	type1	type1:node_43
type1	type1:node_151	rel_2	type0	type0:node_0
type1	type1:node_169	rel_1	type2	type2:node_38
type2	type2:node_116	rel_3	type1	type1:node_106
type1	type1:node_34	rel_0	type0	type0:node_3
type1	type1:node_1	rel_1	type2	type2:node_5
type0	type0:node_0	rel_2	type1	type1:node_25
type0	type0:node_153	rel_1	type0	type0:node_3
type2	type2:node_11	rel_2	type0	type0:node_3
type0	type0:node_0	rel_1	type2	type2:node_2
type2	type2:node_92	rel_2	type0	type0:node_120
type2	type2:node_176	rel_3	type1	type1:node_13
type0	type0:node_42	rel_2	type1	type1:node_10
type1	type1:node_1	rel_3	type2	type2:node_2
type0	type0:node_99	rel_2	type2	type2:node_176
type2	type2:node_2	rel_2	type1	type1:node_181
type1	type1:node_4	rel_1	type1	type1:node_43
type2	type2:node_14	rel_2	type1	type1:node_79
type1	type1:node_1	rel_3	type2	type2:node_77
type2	type2:node_122	rel_0	type1	type1:node_91
type0	type0:node_3	rel_1	type0	type0:node_9
type2	type2:node_53	rel_3	type1	type1:node_1
type2	type2:node_2	rel_1	type2	type2:node_83
type2	type2:node_11	rel_0	type0	type0:node_9
type2	type2:node_110	rel_2	type1	type1:node_61
type0	type0:node_21	rel_1	type0	type0:node_6
type1	type1:node_67	rel_0	type2	type2:node_11
type0	type0:node_75	rel_3	type0	type0:node_0
type1	type1:node_79	rel_3	type1	type1:node_181
type0	type0:node_27	rel_3	type2	type2:node_14
type1	type1:node_1	rel_1	type1	type1:node_25
type2	type2:node_2	rel_0	type0	type0:node_0
type2	type2:node_8	rel_0	type0	type0:node_9
type0	type0:node_0	rel_3	type2	type2:node_2
type2	type2:node_2	rel_0	type0	type0:node_0
